Timestamp,Incident Location in Coordinates,Time of day,Date,Year of Occurence,How many people where in your company when the incident happened?,Gender,Misc,Source,What kind of incident was this
9/27/2021 15:30:13,"13.1037307, 77.5756662",3:00:00 PM,,2021,2,Female,Male friend accompanying a female. Person whistled,First Hand,
9/27/2021 15:33:18,"13.104512,77.573018",9:00:00 AM,,2021,just the individual,Female,A group of people sitting on the benches catcalled,Second Hand,
9/27/2021 15:38:30,"13.106985,77.568991",12:30:00 PM,9/18/2021,2021,she was in an apartment. first floor balcony,Female,22 year old in her balcony is flashed from a person on a bike. He continues to circle the PG for half an hour,Second Hand,
9/27/2021 15:44:15,"13.101192,77.571701",6:00:00 PM,,2021,4,multiple people,Drunk person attempts to talk to people in the group. 4 other people beat the drunk up,Second Hand,
9/27/2021 15:49:26,"13.102642,77.571849",3:30:00 AM,3/30/2021,2021,NA,Female,Improper touching ,Second Hand,
9/27/2021 15:51:39,"13.104000,77.571660",5:00:00 PM,9/24/2021,2021,3,Female,All three were being catcalled by 2 males. The students cursed at the catcallers. They followed them ,Second Hand,
9/27/2021 15:53:39,"13.100731,77.571101",3:00:00 PM,9/24/2021,2021,NA,Female,Group of males catcalled individual female outside her own PG,Second Hand,
9/27/2021 17:39:03,"13.106873130823645, 77.57565308190519",Afternoon,,2019,with 2 other people,Male,"He was crossdressing as part of a Srishti Project, was catcalled by 2 males. They were having food in an open restaurant. They walked out as they say the student. Then catcalled and smiled.",First Hand,Catcalling
9/27/2021 18:41:58,"13.100708738760831, 77.57107381179694",Late int the night,,2021,2,Female,Probable drunk male passes by on the street. Leers and shouts in kannada. Circles back to shout. They were in their pg balcony,First Hand,Leering from the street.
9/27/2021 18:44:46,"13.100708738760831, 77.57107381179694",Late int the night,,2021,1,Female,"Student was on the street, getting back into the PG. Male on bike speeds past and makes comment on body part",First Hand,Catcalling
9/27/2021 18:53:54,"13.10084110915598, 77.56993736661207",Afternoon,,,2,Female,2 or 3 guys comment 'nice ass' and follow through.,Second Hand,
9/27/2021 20:32:20,"13.102642,77.571849",Afternoon,September,2021,2,Female,Stalking inside the fresh mart,Second Hand,Stalking
9/27/2021 20:41:28,"13.101194,77.576787",Evening,September,2021,2,Female,Walking accompanied by a friend and being stalked at,Second Hand,Stalking
9/27/2021 20:47:09,"13.103925,77.571613",Afternoons and evenings,September,2021,2,Female,Accompanied by a female friend at the juice shop and being stared at from the guys in a group,Second Hand,Stalking
9/27/2021 20:50:42,"13.103964,77.574561",Afternoon,September,2021,0,Female,Walking back from Manasi stationery after dropping a friend,First Hand,Stalked while walking
9/27/2021 20:54:48,"13.101191,77.571613",Afternoon,27/9/21,2021,0,Female,Was being stared by a guy while entering into a pg at the gate,First Hand,Stalked
9/27/2021 21:01:38,"13.098743,77.574069",Late int the night,9/9/21,2021,1,Female,Two of the friends were walking back to their pg on a main road and got hooted at by two guys on a bike,First Hand,Hooted at
9/27/2021 23:48:16,"13.103992,77.574623",Late int the night,,,2,Female,,First Hand,Catcalling
9/28/2021 5:42:29,"13.101222882977165, 77.571708952054",Evening,November 2020,2020,1,Male,3 guys on a bike catcalling girls and boys.,Second Hand,Catcalling
9/28/2021 18:11:15,"13.1039583, 77.5745346",Evening,2019 December,2019,2,Female,It has happened many times to different students at the same place. ,Second Hand,Flashing
9/28/2021 19:10:58,"13.102040,77.573671",Evening,February 2021,2021,5,3 Male 2 Girls,Assaulted and followed by a group of 4-5 male  assaulters. SFS colony on road behind agamshala and next to a park. ,Second Hand,Assaulted
9/28/2021 19:18:07,"13.1082746, 77.5742319",Afternoon,"2019, December",2019,0,Female,A guy followed until student reached n4. ,First Hand,Follower/Stalking
9/30/2021 19:18:48,"13.099506,77.571560",7PM,24th ,2021,entire PG of 5,Female,Individual manipulated position of CCTV by entering the compound of the bungalow. Enters the compound wall at a later date. CCTV record exists. Guard was inside the compound. ,First Hand,Harassment. Persistent.
9/30/2021 19:29:20,"13.099506,77.571560",Afternoon,sometime in January,2021,alone in pg,Female,Female sole resident at the time is taking a bath. An individual climbs up to the bathroom window and peeps. Semen stains found,Second Hand,